"Fighting For Love","tt0286623","1","0","6.3","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Fist of Legend","tt0110200","1","8","7.5","0","1994","98","
English","
Hong Kong","VCD","HK","Hong Kong"
"Flirting Scholar","tt0108289","1","6","7.5","0","1993","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Flyin Dance","tt0355449","1","0","6","0","2000","0",,,"VCD","HK","Hong Kong"
"Full Throttle","tt0113651","1","6.5","6.6","0","1995","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Funny Business",,"1","6","0","0","0","0",,,"VCD","HK","Hong Kong"
"Futile Existence",,"1","0","0","0","0","0",,,"VCD","HK","Hong Kong"
"Future Cops","tt0106545","1","7","5.4","0","1993","95","
English","
Hong Kong","VCD","HK","Hong Kong"
"Gen X Cops","tt0206334","1","7.5","5.9","0","1999","114","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Gen Y Cops","tt0251094","1","6","4.6","0","2000","0","
English","
Hong Kong","VCD","HK","Hong Kong"
"God of Gamblers","tt0097244","1","8","7.3","0","1989","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"God Of Gamblers II","tt0101763","1","6","6.7","0","1991","99","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"God of Gamblers III: The Early years","tt0119513","1","6.5","6.6","0","1997","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"God of Gamblers Return","tt0109683","1","7","6.7","0","1994","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Goodbye Mr Cool","tt0304098","1","7","6.6","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Gorgeous","tt0184526","1","7","5.5","0","1999","95","
English","
Hong Kong","VCD","HK","Hong Kong"
"Hail the Judge","tt0110201","1","0","7.3","0","1994","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Handsome Siblings","tt0104572","1","0","5.9","0","1992","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Help!!!","tt0250313","1","6.5","5.8","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Hero","tt0136242","1","6.5","6.2","0","1997","93","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"High Risk","tt0114437","1","6","5.8","0","1995","101","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Hong Kong History X","tt0318844","1","0","4.7","0","2000","0","
Mandarin","
Hong Kong","VCD","HK","Hong Kong"
"Hot War","tt0181582","1","6","5.7","0","1998","93","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"July Rhapsody","tt0312886","1","0","7.2","0","2002","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"La Brassiere","tt0306651","1","8","6.4","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Lavender","tt0274626","1","7","5.5","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Life is a Miracle","tt0324113","1","0","6","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Lotus Lantern","tt0262264","1","0","5.4","0","1999","85","
Mandarin","
China","VCD","HK","Hong Kong"
"Love is a Fairy Tale","tt0108605","1","6.5","5.7","0","1993","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Love on a Diet","tt0286797","1","7.5","6.9","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Love Undercover","tt0367104","1","0","6.8","0","2002","0",,"
Hong Kong","VCD","HK","Hong Kong"
"Mafia.com","tt0353523","1","0","4.6","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Magnificent Warriors","tt0094375","1","0","6.4","0","1987","91","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Marooned","tt0300242","1","6.5","5.2","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Master Q 2001","tt0199898","1","3","4.5","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Messengers","tt0215993","1","6.5","6.8","0","1999","0","
Japanese","
Japan","VCD","JP","Japanese"
"My Life as McDull","tt0312941","1","0","7.6","0","2001","75","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"My Name is Nobody","tt0275538","1","7.5","6.1","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Nan Qin Nu Ai",,"1","0","0","0","0","0",,,"VCD","HK","Hong Kong"
"Needing You","tt0244092","1","0","6.9","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Nightmares in Precint 7","tt0313403","1","0","6.6","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Para Para Sakura","tt0293895","1","0","5.9","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Paramount Motel","tt0325174","1","5","5.3","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Parasite Eve","tt0119860","1","0","5.7","0","1997","0","
Japanese","
Japan","VCD","JP","Japanese"
"Perfect Match","tt0098719","1","5.5","5.1","0","1989","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Princess D","tt0282860","1","0","6.3","0","2002","0","
Mandarin","
Taiwan","VCD","HK","Hong Kong"
"Riki-oh: The Story of Riki","tt0102293","1","0","7.1","0","1991","91","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Royal Tramp","tt0104770","1","5.5","7","0","1992","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Running out of Time","tt0216165","1","7","7.3","0","1999","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Sakuya the Slayer of Demons","tt0282936","1","0","4.8","0","2000","0","
Japanese","
Japan","VCD","HK","Hong Kong"
"Second Time Around","tt0286057","1","0","6.6","0","2002","99","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Shaolin Soccer","tt0286112","1","9","7.3","0","2001","102","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Shark Skin Man and Peach Hip Girl","tt0169222","1","8","6.8","0","1998","108","
Japanese","
Japan","VCD","JP","Japanese"
"Skyline Cruisers","tt0272822","1","6.5","5.5","0","2000","0","
Cantonese","
China","VCD","HK","Hong Kong"
